first_name,last_name,team,games_suspended,category,desc.,year,source
Vernon,Kirk,STL,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
Jake,Knott,PHI,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000339592/article/jake-knott-suspended-for-violating-substance-abuse-policy
Kenard,Lang,DEN,6,PEDs,,2007,http://www.nytimes.com/2007/10/05/sports/football/05nfl.html
Luke,Lawton,OAK,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4771154
Matt,Lehr,ATL,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2629991
Travis,Lewis,WAS,4,PEDs,,2011,http://www.washingtonpost.com/blogs/football-insider/post/report-redskins-trent-williams-and-fred-davis-to-be-suspended-for-four-games/2011/12/04/gIQAZJ6tSO_blog.html
DeMarcus,Love,MIN,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22974075/vikings-ol-demarcus-love-suspended-for-ped-violation
Deuce,Lutui,TEN,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000150698/article/deuce-lutui-suspended-by-nfl-for-drug-violation
Adrian,Madise,DEN,4,PEDs,,2005,http://sports.espn.go.com/nfl/news/story?id=1974527
Robert,Mathis,IND,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000350988/article/colts-robert-mathis-suspended-four-games-for-ped
Ryan,McBean,DEN,6,PEDs,"Alleged ""non-human"" urine in system",2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
Gerald,McRath,TEN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5285379
Shawne,Merriman,SD,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2635475
Gabe,Miller,CHI,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000209177/article/chicago-bears-gabe-miller-evan-rodriguez-apologize
Jim,Miller,CHI,4,PEDs,,1999,http://www.nytimes.com/1999/12/02/sports/pro-football-bears-lose-miller-to-steroid-suspension.html
Nick,Miller,STL,4,PEDs,,2012,http://profootball.scout.com/story/1159088-nick-miller-suspended-four-games
Dontay,Moch,CIN,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8048956/dontay-moch-cincinnati-bengals-suspended-four-games-peds
John,Moffitt,CLE,4,PEDs,,2011,http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html
Eric,Moore,NYG,4,PEDs,,1993,http://www.nytimes.com/1993/07/30/sports/pro-football-giants-moore-faces-ban-by-nfl.html
Sammy,Morris,MIA,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2568282
Mark,Mraz,LA,3,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
Michael,Neal,GB,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7682945/nfl-suspends-mike-neal-green-bay-packers-1st-four-games
Spencer,Nealy,MIN,4,PEDs,,2014,http://espn.go.com/nfl/story/_/id/11204290/spencer-nealy-minnesota-vikings-suspended-four-games-ped-use
Andre,Neblett,CAR,4,PEDs,,2012,http://www.nfl.com/news/story/09000d5d82aa5c20/article/andre-neblett-suspended-four-games-for-ped-violation
Keith,Newman,ATL,4,PEDs,,2003,http://sports.espn.go.com/espn/wire?id=1606334
